time, x_accel, z_accel, left_enc, right_enc
5326592, 5, 157, 6, 6
5328464, 6, 160, 6, 6
5330332, 5, 159, 6, 6
5332204, 4, 159, 6, 6
5334072, 5, 158, 6, 6
5335944, 6, 159, 6, 6
5337812, 5, 159, 6, 6
5339684, 5, 159, 6, 6
5341552, 5, 159, 6, 6
5343424, 5, 159, 6, 6
5345300, 5, 159, 6, 6
5347164, 5, 159, 6, 6
5349032, 5, 158, 6, 6
5350904, 5, 157, 6, 6
5352772, 6, 156, 6, 6
5354644, 5, 156, 6, 6
5356512, 5, 157, 6, 6
5358384, 5, 159, 6, 6
5360252, 5, 158, 6, 6
5362124, 5, 156, 6, 6
5363992, 5, 155, 6, 6
5365864, 5, 150, 6, 6
5367732, 5, 149, 6, 6
5369604, 5, 147, 6, 6
5371472, 5, 147, 6, 6
5373344, 5, 146, 6, 6
5375212, 5, 145, 6, 6
5377084, 5, 146, 6, 6
5378952, 5, 148, 6, 6
5380824, 6, 150, 6, 6
5382696, 5, 150, 6, 6
5384564, 5, 150, 6, 6
5386432, 5, 151, 6, 6
5388312, 6, 152, 6, 6
5390172, 5, 152, 6, 6
5392044, 5, 152, 6, 6
5393912, 5, 153, 6, 6
5395784, 6, 154, 6, 6
5397652, 6, 155, 6, 6
5399524, 5, 155, 6, 6
5401392, 5, 156, 6, 6
5403264, 5, 158, 6, 6
5405132, 5, 157, 6, 6
5407004, 5, 156, 6, 6
5408872, 5, 155, 6, 6
5410744, 6, 155, 6, 6
5412612, 5, 154, 6, 6
5414484, 5, 152, 6, 6
5416352, 5, 152, 6, 6
5418224, 5, 154, 6, 6
5420092, 5, 154, 6, 6
5421964, 5, 155, 6, 6
5423832, 5, 155, 6, 6
5425704, 6, 154, 6, 6
5427572, 5, 154, 6, 6
5429444, 5, 152, 6, 6
5431320, 5, 155, 6, 6
5433184, 5, 156, 6, 6
5435052, 5, 156, 6, 6
5436924, 5, 155, 6, 6
5438792, 5, 155, 6, 6
5440664, 5, 157, 6, 6
5442532, 6, 159, 6, 6
5444404, 5, 159, 6, 6
5446272, 5, 160, 6, 6
5448144, 6, 160, 6, 6
5450012, 5, 160, 6, 6
5451884, 5, 159, 6, 6
5453752, 4, 159, 6, 6
5455624, 5, 159, 6, 6
5457492, 5, 159, 6, 6
5459364, 5, 159, 6, 6
5461232, 5, 160, 6, 6
5463104, 5, 160, 6, 6
5464972, 5, 158, 6, 6
5466844, 5, 156, 6, 6
5468712, 5, 154, 6, 6
5470584, 6, 154, 6, 6
5472452, 5, 155, 6, 6
5474328, 5, 156, 6, 6
5476192, 5, 156, 6, 6
5478064, 5, 156, 6, 6
5479932, 5, 153, 6, 6
5481804, 5, 150, 6, 6
5483672, 5, 148, 6, 6
5485544, 5, 146, 6, 6
5487412, 6, 144, 6, 6
5489284, 5, 144, 6, 6
5491156, 4, 146, 6, 6
5493024, 5, 148, 6, 6
5494896, 6, 151, 6, 6
5496764, 5, 152, 6, 6
5498632, 4, 149, 6, 6
5500504, 5, 146, 6, 6
5502372, 5, 143, 6, 6
5504244, 5, 143, 6, 6
5506116, 5, 143, 6, 6
5507984, 6, 143, 6, 6
5509856, 5, 144, 6, 6
5511724, 5, 146, 6, 6
5513596, 5, 148, 5, 6
5515464, 5, 148, 5, 6
5517336, 5, 148, 5, 6
5519204, 5, 145, 5, 6
5521072, 5, 142, 5, 6
5522944, 5, 141, 5, 6
5524812, 5, 140, 5, 6
5526684, 5, 140, 5, 6
5528552, 5, 139, 5, 6
5530424, 6, 138, 5, 6
5532296, 5, 137, 5, 6
5534164, 5, 137, 5, 6
5536032, 5, 138, 5, 6
5537904, 5, 139, 5, 6
5539776, 5, 139, 5, 6
5541644, 5, 138, 5, 6
5543516, 5, 137, 5, 6
5545384, 5, 136, 5, 6
5547256, 6, 137, 5, 6
5549124, 5, 134, 5, 6
5550996, 5, 132, 5, 6
5552864, 5, 131, 5, 6
5554736, 5, 129, 5, 6
5556604, 5, 129, 5, 6
5558472, 5, 129, 5, 6
5560344, 5, 129, 5, 6
5562212, 5, 128, 5, 6
5564084, 5, 126, 5, 6
5565952, 5, 123, 5, 6
5567824, 5, 122, 5, 6
5569696, 5, 121, 5, 6
5571564, 5, 119, 5, 6
5573432, 5, 117, 5, 6
5575304, 5, 118, 5, 6
5577176, 5, 119, 5, 6
5579044, 5, 119, 5, 6
5580916, 5, 117, 5, 6
5582784, 5, 116, 5, 6
5584656, 5, 115, 5, 6
5586524, 5, 115, 5, 6
5588396, 6, 114, 5, 6
5590264, 5, 113, 5, 6
5592136, 5, 112, 5, 6
5594004, 5, 110, 5, 6
5595872, 5, 111, 5, 6
5597744, 5, 112, 5, 6
5599616, 5, 112, 5, 6
5601484, 5, 112, 5, 6
5603356, 5, 112, 5, 6
5605224, 6, 112, 5, 6
5607096, 5, 111, 5, 6
5608964, 5, 113, 5, 6
5610836, 5, 113, 5, 6
5612704, 5, 111, 5, 6
5614576, 5, 110, 5, 6
5616444, 5, 111, 5, 6
5618316, 5, 112, 5, 6
5620184, 5, 111, 5, 6
5622056, 5, 109, 5, 6
5623924, 5, 108, 5, 6
5625792, 5, 107, 5, 6
5627664, 5, 108, 5, 6
5629536, 5, 108, 5, 6
5631404, 5, 107, 5, 6
5633276, 5, 104, 5, 6
5635144, 5, 102, 5, 6
5637012, 5, 100, 5, 6
5638884, 5, 99, 5, 6
5640668, 5, 100, 5, 6
5642540, 5, 99, 5, 6
5644324, 5, 98, 5, 6
5646108, 5, 97, 5, 6
5647892, 5, 96, 5, 6
5649680, 5, 96, 5, 6
5651472, 6, 96, 5, 6
5653248, 5, 98, 5, 6
5655032, 5, 98, 5, 6
5656820, 5, 100, 5, 6
5658688, 5, 104, 5, 6
5660560, 5, 111, 5, 6
5662428, 5, 120, 5, 6
5664300, 5, 126, 5, 6
5666168, 5, 127, 5, 6
5668040, 6, 128, 5, 6
5669912, 5, 130, 5, 6
5671780, 5, 131, 5, 6
5673648, 5, 131, 5, 6
5675520, 4, 128, 5, 6
5677388, 5, 125, 5, 6
5679260, 5, 125, 5, 6
5681128, 5, 129, 5, 6
5683000, 6, 132, 5, 6
5684868, 6, 135, 5, 6
5686740, 5, 134, 5, 6
5688608, 5, 135, 5, 6
5690480, 6, 136, 5, 6
5692348, 5, 139, 5, 6
5694220, 5, 140, 5, 6
5696088, 6, 141, 5, 6
5697960, 6, 140, 5, 6
5699828, 5, 141, 5, 6
5701700, 5, 143, 5, 6
5703568, 5, 145, 5, 6
5705440, 6, 146, 5, 6
5707308, 5, 145, 5, 6
5709180, 5, 145, 5, 6
5711048, 5, 147, 5, 6
5712920, 6, 149, 5, 6
5714788, 5, 150, 5, 6
5716660, 5, 150, 5, 6
5718528, 5, 151, 5, 6
5720400, 5, 149, 5, 6
5722268, 5, 149, 5, 6
5724140, 5, 150, 5, 6
5726008, 5, 150, 5, 6
5727880, 6, 150, 5, 6
5729748, 5, 151, 5, 6
5731620, 5, 151, 5, 6
5733488, 6, 152, 5, 6
5735360, 6, 152, 5, 6
5737228, 9, 151, 5, 6
5739100, 15, 148, 5, 6
5741052, 21, 148, 5, 6
5743008, 26, 150, 5, 6
5744964, 32, 151, 5, 6
5746920, 38, 151, 5, 6
5748872, 44, 152, 5, 6
5750828, 51, 152, 5, 6
5752784, 57, 152, 5, 6
