time, x, z
1733372, 280, 92
1734816, 280, 92
1736260, 280, 92
1737708, 281, 91
1739152, 280, 89
1740596, 279, 88
1742040, 279, 88
1743488, 279, 87
1744936, 279, 88
1746376, 278, 89
1747820, 278, 89
1749268, 278, 91
1750712, 278, 92
1752160, 278, 92
1753600, 277, 92
1755048, 277, 91
1756492, 278, 90
1757936, 277, 90
1759380, 279, 89
1760828, 279, 90
1762272, 279, 90
1763716, 280, 90
1765160, 279, 90
1766608, 279, 89
1768052, 278, 89
1769496, 278, 90
1770940, 280, 91
1772388, 278, 90
1773832, 278, 91
1775276, 279, 91
1776720, 279, 91
1778168, 279, 91
1779612, 279, 91
1781056, 279, 91
1782500, 279, 91
1783952, 278, 92
1785392, 279, 92
1786836, 281, 93
1788280, 279, 92
1789728, 279, 93
1791172, 279, 91
1792616, 278, 91
1794068, 279, 91
1795508, 280, 91
1796952, 281, 90
1798396, 282, 88
1799840, 280, 88
1801288, 281, 90
1802732, 281, 90
1804176, 280, 90
1805620, 279, 90
1807068, 279, 90
1808512, 279, 90
1809956, 280, 91
1811400, 280, 92
1812848, 280, 91
1814292, 281, 91
1815736, 280, 92
1817180, 280, 90
1818632, 279, 91
1820072, 280, 91
1821516, 282, 89
1822960, 281, 90
1824408, 281, 89
1825856, 281, 89
1827296, 281, 91
1828740, 280, 91
1830188, 279, 90
1831632, 278, 89
1833080, 279, 89
1834520, 279, 89
1835968, 279, 89
1837412, 279, 90
1838856, 280, 89
1840300, 281, 90
1841748, 280, 90
1843192, 279, 90
1844636, 278, 90
1846080, 278, 90
1847528, 279, 90
1848972, 279, 90
1850416, 280, 91
1851860, 281, 91
1853308, 280, 92
1854752, 280, 92
1856196, 279, 92
1857640, 278, 92
1859088, 277, 93
1860532, 278, 91
1861976, 278, 91
1863420, 280, 91
1864868, 280, 91
1866312, 280, 91
1867756, 280, 92
1869200, 279, 91
1870648, 279, 91
1872092, 280, 91
1873536, 280, 90
1874984, 280, 89
1876428, 280, 89
1877872, 279, 90
1879316, 279, 91
1880760, 279, 90
1882208, 280, 91
1883652, 281, 91
1885096, 280, 93
1886540, 281, 92
1887988, 279, 92
1889432, 279, 92
1890876, 278, 91
1892320, 279, 90
1893768, 278, 90
1895212, 278, 90
1896656, 278, 91
1898100, 279, 91
1899552, 280, 91
1900992, 280, 92
1902436, 280, 93
1903880, 280, 93
1905328, 280, 92
1906776, 280, 92
1908216, 278, 91
1909660, 278, 91
1911108, 279, 91
1912552, 280, 91
1914000, 281, 92
1915440, 281, 91
1916888, 281, 92
1918332, 281, 91
1919776, 279, 92
1921220, 280, 92
1922668, 279, 91
1924116, 278, 91
1925556, 280, 90
1927000, 280, 89
1928448, 280, 89
1929892, 279, 90
1931336, 279, 90
1932780, 281, 90
1934228, 280, 91
1935672, 280, 92
1937116, 280, 91
1938560, 279, 91
1940008, 279, 91
1941452, 278, 93
1942896, 277, 91
1944340, 278, 91
1945788, 278, 90
1947232, 279, 90
1948684, 280, 89
1950120, 281, 90
1951568, 280, 91
1953012, 281, 92
1954456, 280, 91
1955904, 281, 92
1957348, 279, 91
1958792, 279, 91
1960236, 279, 91
1961680, 279, 90
1963128, 279, 90
1964572, 278, 90
1966016, 278, 90
1967460, 279, 91
1968908, 279, 91
1970352, 278, 92
1971796, 278, 92
1973240, 277, 92
1974688, 280, 91
1976132, 279, 92
1977576, 280, 91
1979020, 280, 92
1980472, 280, 92
1981912, 280, 91
1983356, 281, 91
1984800, 280, 91
1986248, 281, 90
1987696, 280, 91
1989136, 279, 91
1990580, 280, 92
1992028, 280, 91
1993472, 279, 91
1994916, 279, 90
1996360, 279, 89
1997808, 279, 89
